Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 0] Step 40 | Triplet: 0.0000 | Domain: 1.6445 | Total: 1.6445
[Epoch 0] Step 80 | Triplet: 0.0000 | Domain: 1.7666 | Total: 1.7666
[Epoch 0] Step 120 | Triplet: 0.0894 | Domain: 2.1777 | Total: 2.2671
[Epoch 0] Step 160 | Triplet: 0.0000 | Domain: 1.9717 | Total: 1.9717
[Epoch 0] Step 200 | Triplet: 0.0000 | Domain: 1.8125 | Total: 1.8125
[Epoch 0] Step 240 | Triplet: 0.0000 | Domain: 1.9199 | Total: 1.9199
[Epoch 0] Step 280 | Triplet: 0.4091 | Domain: 2.1719 | Total: 2.5810
[Epoch 0] Step 320 | Triplet: 0.0000 | Domain: 1.8936 | Total: 1.8936
[Epoch 0] Step 360 | Triplet: 0.1162 | Domain: 1.9561 | Total: 2.0722
[Epoch 0] Step 400 | Triplet: 0.0000 | Domain: 1.5498 | Total: 1.5498
[Epoch 0] Step 440 | Triplet: 0.0000 | Domain: 2.1855 | Total: 2.1855
[Epoch 0] Step 480 | Triplet: 0.0000 | Domain: 1.7256 | Total: 1.7256
[Epoch 0] Step 520 | Triplet: 0.8887 | Domain: 1.7764 | Total: 2.6650
[Epoch 0] Step 560 | Triplet: 0.0000 | Domain: 1.5352 | Total: 1.5352
[Epoch 0] Step 600 | Triplet: 0.9243 | Domain: 1.4502 | Total: 2.3745
[Epoch 0] Step 640 | Triplet: 0.0726 | Domain: 1.8818 | Total: 1.9545
[Epoch 0] Step 680 | Triplet: 0.0000 | Domain: 1.8330 | Total: 1.8330
[Epoch 0] Step 720 | Triplet: 0.0000 | Domain: 2.2422 | Total: 2.2422
[Epoch 0] Step 760 | Triplet: 0.0000 | Domain: 1.8701 | Total: 1.8701
[Epoch 0] Step 800 | Triplet: 0.0000 | Domain: 1.9551 | Total: 1.9551
[Epoch 0] Step 840 | Triplet: 0.0000 | Domain: 1.8398 | Total: 1.8398
[Epoch 0] Step 880 | Triplet: 1.2976 | Domain: 1.7783 | Total: 3.0759
[Epoch 0] Step 920 | Triplet: nan | Domain: nan | Total: nan
[Epoch 0] Step 960 | Triplet: 0.0000 | Domain: 1.8018 | Total: 1.8018
[Epoch 0] Step 1000 | Triplet: 0.0000 | Domain: 1.8301 | Total: 1.8301
[Epoch 0] Step 1040 | Triplet: 0.0896 | Domain: 1.7588 | Total: 1.8484
[Epoch 0] Step 1080 | Triplet: 0.0000 | Domain: 1.8037 | Total: 1.8037
[Epoch 0] Step 1120 | Triplet: 0.0000 | Domain: 1.7109 | Total: 1.7109
[Epoch 0] Step 1160 | Triplet: 0.0000 | Domain: 1.8740 | Total: 1.8740
[Epoch 0] Step 1200 | Triplet: 0.8757 | Domain: 1.7705 | Total: 2.6462
[Epoch 0] Step 1240 | Triplet: 0.0000 | Domain: 2.1719 | Total: 2.1719
[Epoch 0] Step 1280 | Triplet: 0.0000 | Domain: 1.6201 | Total: 1.6201
[Epoch 0] Step 1320 | Triplet: 0.0000 | Domain: 2.0469 | Total: 2.0469
[Epoch 0] Step 1360 | Triplet: 0.2332 | Domain: 2.1680 | Total: 2.4012
[Epoch 0] Step 1400 | Triplet: 0.0000 | Domain: 2.3125 | Total: 2.3125
[Epoch 0] Step 1440 | Triplet: 0.3701 | Domain: 2.1816 | Total: 2.5517
[Epoch 0] Step 1480 | Triplet: 0.0000 | Domain: 2.3145 | Total: 2.3145
[Epoch 0] Step 1520 | Triplet: 0.0000 | Domain: 1.7754 | Total: 1.7754
[Epoch 0] Step 1560 | Triplet: 0.0000 | Domain: 1.9111 | Total: 1.9111
[Epoch 0] Step 1600 | Triplet: 0.0000 | Domain: 1.8721 | Total: 1.8721
[Epoch 0] Step 1640 | Triplet: 0.6174 | Domain: 2.3926 | Total: 3.0100
[Epoch 0] Step 1680 | Triplet: 0.3404 | Domain: 1.9404 | Total: 2.2808
[Epoch 0] Step 1720 | Triplet: 0.3780 | Domain: 2.3008 | Total: 2.6788
[Epoch 0] Step 1760 | Triplet: 0.0000 | Domain: 1.7822 | Total: 1.7822
[Epoch 0] Step 1800 | Triplet: 0.0000 | Domain: 1.9111 | Total: 1.9111
[Epoch 0] Step 1840 | Triplet: 0.0000 | Domain: 1.8271 | Total: 1.8271
[Epoch 0] Step 1880 | Triplet: 0.0000 | Domain: 2.2754 | Total: 2.2754
[Epoch 0] Step 1920 | Triplet: 0.0000 | Domain: 1.7402 | Total: 1.7402
[Epoch 0] Step 1960 | Triplet: 0.0000 | Domain: 2.0098 | Total: 2.0098
