Train samples: 3000 | Eval samples: 372 | num_domains=7
start training 0
[Epoch 0] Step 40 | Triplet: 1.0525 | Domain: 1.8311 | Total: 2.8835
[Epoch 0] Step 80 | Triplet: 0.0000 | Domain: 2.1211 | Total: 2.1211
[Epoch 0] Step 120 | Triplet: 0.0000 | Domain: 2.2949 | Total: 2.2949
[Epoch 0] Step 160 | Triplet: 0.1486 | Domain: 2.0371 | Total: 2.1857
[Epoch 0] Step 200 | Triplet: 0.0000 | Domain: 2.0410 | Total: 2.0410
[Epoch 0] Step 240 | Triplet: 0.0000 | Domain: 1.9346 | Total: 1.9346
[Epoch 0] Step 280 | Triplet: 0.8767 | Domain: 1.8193 | Total: 2.6960
[Epoch 0] Step 320 | Triplet: 0.0000 | Domain: 1.9014 | Total: 1.9014
[Epoch 0] Step 360 | Triplet: 0.0000 | Domain: 2.3652 | Total: 2.3652
[Epoch 0] Step 400 | Triplet: 0.0000 | Domain: 1.9199 | Total: 1.9199
[Epoch 0] Step 440 | Triplet: 0.7008 | Domain: 1.8076 | Total: 2.5084
[Epoch 0] Step 480 | Triplet: 0.0000 | Domain: 2.2949 | Total: 2.2949
[Epoch 0] Step 520 | Triplet: 0.0000 | Domain: 1.6924 | Total: 1.6924
[Epoch 0] Step 560 | Triplet: 0.0958 | Domain: 1.9756 | Total: 2.0714
[Epoch 0] Step 600 | Triplet: 0.0000 | Domain: 1.8701 | Total: 1.8701
[Epoch 0] Step 640 | Triplet: 0.7824 | Domain: 1.9668 | Total: 2.7492
[Epoch 0] Step 680 | Triplet: 0.0000 | Domain: 1.7803 | Total: 1.7803
[Epoch 0] Step 720 | Triplet: 0.0000 | Domain: 1.8760 | Total: 1.8760
[Epoch 0] Step 760 | Triplet: 0.0000 | Domain: 1.9189 | Total: 1.9189
[Epoch 0] Step 800 | Triplet: 0.0000 | Domain: 2.3066 | Total: 2.3066
[Epoch 0] Step 840 | Triplet: 0.0000 | Domain: 1.9639 | Total: 1.9639
[Epoch 0] Step 880 | Triplet: 0.4997 | Domain: 2.0547 | Total: 2.5544
[Epoch 0] Step 920 | Triplet: 0.0000 | Domain: 1.8281 | Total: 1.8281
[Epoch 0] Step 960 | Triplet: 0.0000 | Domain: 1.8867 | Total: 1.8867
[Epoch 0] Step 1000 | Triplet: 0.0000 | Domain: 1.7607 | Total: 1.7607
[Epoch 0] Step 1040 | Triplet: 0.0000 | Domain: 1.7295 | Total: 1.7295
[Epoch 0] Step 1080 | Triplet: 0.0000 | Domain: 1.8389 | Total: 1.8389
[Epoch 0] Step 1120 | Triplet: 0.0000 | Domain: 2.1230 | Total: 2.1230
[Epoch 0] Step 1160 | Triplet: 0.0000 | Domain: 1.8955 | Total: 1.8955
[Epoch 0] Step 1200 | Triplet: 0.0000 | Domain: 1.8018 | Total: 1.8018
[Epoch 0] Step 1240 | Triplet: 0.8386 | Domain: 1.9180 | Total: 2.7565
[Epoch 0] Step 1280 | Triplet: 0.0000 | Domain: 1.8232 | Total: 1.8232
[Epoch 0] Step 1320 | Triplet: 0.0000 | Domain: 1.7617 | Total: 1.7617
[Epoch 0] Step 1360 | Triplet: 0.0000 | Domain: 1.7920 | Total: 1.7920
[Epoch 0] Step 1400 | Triplet: 0.0000 | Domain: 1.7139 | Total: 1.7139
[Epoch 0] Step 1440 | Triplet: 0.0000 | Domain: 1.7432 | Total: 1.7432
[Epoch 0] Step 1480 | Triplet: 0.2831 | Domain: 1.7520 | Total: 2.0351
[Epoch 0] Step 1520 | Triplet: 1.7270 | Domain: 1.7695 | Total: 3.4965
[Epoch 0] Step 1560 | Triplet: 0.0000 | Domain: 1.8711 | Total: 1.8711
[Epoch 0] Step 1600 | Triplet: 0.0000 | Domain: 1.8389 | Total: 1.8389
[Epoch 0] Step 1640 | Triplet: 0.1516 | Domain: 2.0762 | Total: 2.2278
[Epoch 0] Step 1680 | Triplet: 0.0919 | Domain: 1.8086 | Total: 1.9005
[Epoch 0] Step 1720 | Triplet: 0.0000 | Domain: 1.8008 | Total: 1.8008
[Epoch 0] Step 1760 | Triplet: 0.0196 | Domain: 1.7676 | Total: 1.7872
[Epoch 0] Step 1800 | Triplet: 0.0000 | Domain: 2.2949 | Total: 2.2949
[Epoch 0] Step 1840 | Triplet: 0.0000 | Domain: 1.9834 | Total: 1.9834
