Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 0] Step 40 | Triplet: 0.7266 | Domain: 1.8193 | Total: 2.5459
[Epoch 0] Step 80 | Triplet: 0.9681 | Domain: 2.0664 | Total: 3.0345
[Epoch 0] Step 120 | Triplet: 0.0894 | Domain: 2.1777 | Total: 2.2671
[Epoch 0] Step 160 | Triplet: 0.0000 | Domain: 1.9717 | Total: 1.9717
[Epoch 0] Step 200 | Triplet: 0.0000 | Domain: 1.8135 | Total: 1.8135
[Epoch 0] Step 240 | Triplet: 0.0000 | Domain: 1.9199 | Total: 1.9199
[Epoch 0] Step 280 | Triplet: 0.4091 | Domain: 2.1719 | Total: 2.5810
[Epoch 0] Step 320 | Triplet: 0.0000 | Domain: 1.8936 | Total: 1.8936
[Epoch 0] Step 360 | Triplet: 0.1162 | Domain: 1.9570 | Total: 2.0732
[Epoch 0] Step 400 | Triplet: 0.6300 | Domain: 1.9814 | Total: 2.6115
[Epoch 0] Step 440 | Triplet: 0.0000 | Domain: 2.1855 | Total: 2.1855
[Epoch 0] Step 480 | Triplet: 0.0000 | Domain: 1.7275 | Total: 1.7275
[Epoch 0] Step 520 | Triplet: 0.8887 | Domain: 1.7764 | Total: 2.6650
[Epoch 0] Step 560 | Triplet: 0.8972 | Domain: 1.9834 | Total: 2.8806
[Epoch 0] Step 600 | Triplet: 0.2543 | Domain: 2.1797 | Total: 2.4339
[Epoch 0] Step 640 | Triplet: 0.0726 | Domain: 1.8838 | Total: 1.9564
[Epoch 0] Step 680 | Triplet: 0.0000 | Domain: 1.8330 | Total: 1.8330
[Epoch 0] Step 720 | Triplet: 0.0000 | Domain: 2.2422 | Total: 2.2422
[Epoch 0] Step 760 | Triplet: 0.0000 | Domain: 1.8701 | Total: 1.8701
[Epoch 0] Step 800 | Triplet: 0.0000 | Domain: 1.9551 | Total: 1.9551
[Epoch 0] Step 840 | Triplet: 0.0000 | Domain: 1.8398 | Total: 1.8398
[Epoch 0] Step 880 | Triplet: 1.2976 | Domain: 1.7783 | Total: 3.0759
[Epoch 0] Step 920 | Triplet: nan | Domain: nan | Total: nan
[Epoch 0] Step 960 | Triplet: 0.0000 | Domain: 1.8027 | Total: 1.8027
[Epoch 0] Step 1000 | Triplet: 0.0000 | Domain: 1.8291 | Total: 1.8291
[Epoch 0] Step 1040 | Triplet: 0.0896 | Domain: 1.7588 | Total: 1.8484
[Epoch 0] Step 1080 | Triplet: 0.0000 | Domain: 1.8047 | Total: 1.8047
[Epoch 0] Step 1120 | Triplet: 1.4736 | Domain: 2.0586 | Total: 3.5322
[Epoch 0] Step 1160 | Triplet: 0.0000 | Domain: 1.8740 | Total: 1.8740
[Epoch 0] Step 1200 | Triplet: 0.0000 | Domain: 1.8125 | Total: 1.8125
[Epoch 0] Step 1240 | Triplet: 0.0000 | Domain: 2.1699 | Total: 2.1699
[Epoch 0] Step 1280 | Triplet: 0.8948 | Domain: 1.9814 | Total: 2.8763
[Epoch 0] Step 1320 | Triplet: 0.0000 | Domain: 2.0508 | Total: 2.0508
[Epoch 0] Step 1360 | Triplet: 0.2332 | Domain: 2.1660 | Total: 2.3992
[Epoch 0] Step 1400 | Triplet: 0.0000 | Domain: 2.3086 | Total: 2.3086
[Epoch 0] Step 1440 | Triplet: 0.3701 | Domain: 2.1836 | Total: 2.5537
[Epoch 0] Step 1480 | Triplet: 0.0000 | Domain: 2.3125 | Total: 2.3125
[Epoch 0] Step 1520 | Triplet: 0.0926 | Domain: 1.6338 | Total: 1.7264
[Epoch 0] Step 1560 | Triplet: 0.0000 | Domain: 1.9092 | Total: 1.9092
[Epoch 0] Step 1600 | Triplet: 0.9687 | Domain: 1.8506 | Total: 2.8193
[Epoch 0] Step 1640 | Triplet: 0.6174 | Domain: 2.3887 | Total: 3.0061
[Epoch 0] Step 1680 | Triplet: 0.3404 | Domain: 1.9414 | Total: 2.2818
[Epoch 0] Step 1720 | Triplet: 0.3780 | Domain: 2.2969 | Total: 2.6749
[Epoch 0] Step 1760 | Triplet: 0.0000 | Domain: 1.7822 | Total: 1.7822
[Epoch 0] Step 1800 | Triplet: 0.0000 | Domain: 1.9111 | Total: 1.9111
[Epoch 0] Step 1840 | Triplet: 0.0000 | Domain: 1.8281 | Total: 1.8281
[Epoch 0] Step 1880 | Triplet: 0.0000 | Domain: 2.2695 | Total: 2.2695
[Epoch 0] Step 1920 | Triplet: 0.0000 | Domain: 1.7393 | Total: 1.7393
[Epoch 0] Step 1960 | Triplet: 0.0000 | Domain: 2.0156 | Total: 2.0156
[Epoch 0] Step 2000 | Triplet: 0.0000 | Domain: 1.8525 | Total: 1.8525
[Epoch 0] Step 2040 | Triplet: 0.0000 | Domain: 1.8984 | Total: 1.8984
[Epoch 0] Step 2080 | Triplet: 0.0000 | Domain: 2.1699 | Total: 2.1699
[Epoch 0] Step 2120 | Triplet: 0.3241 | Domain: 1.9131 | Total: 2.2371
[Epoch 0] Step 2160 | Triplet: 0.0000 | Domain: 1.8135 | Total: 1.8135
[Epoch 0] Step 2200 | Triplet: 0.0000 | Domain: 1.8916 | Total: 1.8916
[Epoch 0] Step 2240 | Triplet: 0.0000 | Domain: 2.0156 | Total: 2.0156
[Epoch 0] Step 2280 | Triplet: 0.0000 | Domain: 2.1719 | Total: 2.1719
[Epoch 0] Step 2320 | Triplet: 0.0822 | Domain: 1.9668 | Total: 2.0490
