Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 0] Step 40 | Triplet: 0.0000 | Domain: 1.6445 | Total: 1.6445
[Epoch 0] Step 80 | Triplet: 0.0000 | Domain: 1.7666 | Total: 1.7666
[Epoch 0] Step 120 | Triplet: 0.0894 | Domain: 2.1777 | Total: 2.2671
[Epoch 0] Step 160 | Triplet: 0.0000 | Domain: 1.9717 | Total: 1.9717
[Epoch 0] Step 200 | Triplet: 0.0000 | Domain: 1.8125 | Total: 1.8125
[Epoch 0] Step 240 | Triplet: 0.0000 | Domain: 1.9199 | Total: 1.9199
[Epoch 0] Step 280 | Triplet: 0.4091 | Domain: 2.1719 | Total: 2.5810
[Epoch 0] Step 320 | Triplet: 0.0000 | Domain: 1.8936 | Total: 1.8936
[Epoch 0] Step 360 | Triplet: 0.1162 | Domain: 1.9570 | Total: 2.0732
[Epoch 0] Step 400 | Triplet: 0.0000 | Domain: 1.5498 | Total: 1.5498
[Epoch 0] Step 440 | Triplet: 0.0000 | Domain: 2.1855 | Total: 2.1855
[Epoch 0] Step 480 | Triplet: 0.0000 | Domain: 1.7275 | Total: 1.7275
[Epoch 0] Step 520 | Triplet: 0.8887 | Domain: 1.7764 | Total: 2.6650
[Epoch 0] Step 560 | Triplet: 0.0000 | Domain: 1.5342 | Total: 1.5342
[Epoch 0] Step 600 | Triplet: 0.9243 | Domain: 1.4502 | Total: 2.3745
[Epoch 0] Step 640 | Triplet: 0.0726 | Domain: 1.8828 | Total: 1.9554
[Epoch 0] Step 680 | Triplet: 0.0000 | Domain: 1.8340 | Total: 1.8340
[Epoch 0] Step 720 | Triplet: 0.0000 | Domain: 2.2227 | Total: 2.2227
[Epoch 0] Step 760 | Triplet: 0.0000 | Domain: 1.8711 | Total: 1.8711
[Epoch 0] Step 800 | Triplet: 0.0000 | Domain: 1.9561 | Total: 1.9561
[Epoch 0] Step 840 | Triplet: 0.0000 | Domain: 1.8389 | Total: 1.8389
[Epoch 0] Step 880 | Triplet: 1.2976 | Domain: 1.7783 | Total: 3.0759
[Epoch 0] Step 920 | Triplet: nan | Domain: nan | Total: nan
[Epoch 0] Step 960 | Triplet: 0.0000 | Domain: 1.8037 | Total: 1.8037
[Epoch 0] Step 1000 | Triplet: 0.0000 | Domain: 1.8291 | Total: 1.8291
[Epoch 0] Step 1040 | Triplet: 0.0896 | Domain: 1.7588 | Total: 1.8484
[Epoch 0] Step 1080 | Triplet: 0.0000 | Domain: 1.8037 | Total: 1.8037
[Epoch 0] Step 1120 | Triplet: 0.0000 | Domain: 1.7100 | Total: 1.7100
[Epoch 0] Step 1160 | Triplet: 0.0000 | Domain: 1.8750 | Total: 1.8750
[Epoch 0] Step 1200 | Triplet: 0.8757 | Domain: 1.7705 | Total: 2.6462
[Epoch 0] Step 1240 | Triplet: 0.8708 | Domain: 1.9619 | Total: 2.8327
[Epoch 0] Step 1280 | Triplet: 0.0000 | Domain: 1.6191 | Total: 1.6191
[Epoch 0] Step 1320 | Triplet: 0.0000 | Domain: 2.0508 | Total: 2.0508
[Epoch 0] Step 1360 | Triplet: 1.0996 | Domain: 2.1230 | Total: 3.2227
[Epoch 0] Step 1400 | Triplet: 1.7563 | Domain: 2.0352 | Total: 3.7914
[Epoch 0] Step 1440 | Triplet: 0.3701 | Domain: 2.1816 | Total: 2.5517
[Epoch 0] Step 1480 | Triplet: 1.1391 | Domain: 2.1016 | Total: 3.2406
[Epoch 0] Step 1520 | Triplet: 0.0000 | Domain: 1.7754 | Total: 1.7754
[Epoch 0] Step 1560 | Triplet: 0.0000 | Domain: 1.9121 | Total: 1.9121
[Epoch 0] Step 1600 | Triplet: 0.0000 | Domain: 1.8721 | Total: 1.8721
[Epoch 0] Step 1640 | Triplet: 1.1380 | Domain: 2.1250 | Total: 3.2630
[Epoch 0] Step 1680 | Triplet: 0.3404 | Domain: 1.9414 | Total: 2.2818
[Epoch 0] Step 1720 | Triplet: 1.3208 | Domain: 1.6055 | Total: 2.9263
[Epoch 0] Step 1760 | Triplet: 0.0000 | Domain: 1.7832 | Total: 1.7832
[Epoch 0] Step 1800 | Triplet: 0.0000 | Domain: 1.9111 | Total: 1.9111
[Epoch 0] Step 1840 | Triplet: 0.0000 | Domain: 1.8291 | Total: 1.8291
[Epoch 0] Step 1880 | Triplet: 0.0983 | Domain: 1.8926 | Total: 1.9909
[Epoch 0] Step 1920 | Triplet: 0.0000 | Domain: 1.7402 | Total: 1.7402
[Epoch 0] Step 1960 | Triplet: 0.0000 | Domain: 2.0137 | Total: 2.0137
