Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 0] Step 40 | Triplet: 0.7266 | Domain: 1.8193 | Total: 2.5459
[Epoch 0] Step 80 | Triplet: 0.9681 | Domain: 2.0664 | Total: 3.0345
[Epoch 0] Step 120 | Triplet: 0.0894 | Domain: 2.1777 | Total: 2.2671
[Epoch 0] Step 160 | Triplet: 0.0907 | Domain: 1.6211 | Total: 1.7118
[Epoch 0] Step 200 | Triplet: 0.0000 | Domain: 1.9219 | Total: 1.9219
[Epoch 0] Step 240 | Triplet: 0.0000 | Domain: 1.6982 | Total: 1.6982
[Epoch 0] Step 280 | Triplet: 0.4091 | Domain: 2.1719 | Total: 2.5810
[Epoch 0] Step 320 | Triplet: 0.0000 | Domain: 1.6436 | Total: 1.6436
[Epoch 0] Step 360 | Triplet: 0.2993 | Domain: 1.8896 | Total: 2.1890
[Epoch 0] Step 400 | Triplet: 0.6300 | Domain: 1.9805 | Total: 2.6105
[Epoch 0] Step 440 | Triplet: 0.0000 | Domain: 2.1855 | Total: 2.1855
[Epoch 0] Step 480 | Triplet: 0.0000 | Domain: 1.7705 | Total: 1.7705
[Epoch 0] Step 520 | Triplet: 0.0000 | Domain: 1.8672 | Total: 1.8672
[Epoch 0] Step 560 | Triplet: 0.8972 | Domain: 1.9834 | Total: 2.8806
[Epoch 0] Step 600 | Triplet: 0.2543 | Domain: 2.1816 | Total: 2.4359
[Epoch 0] Step 640 | Triplet: 0.0000 | Domain: 1.8252 | Total: 1.8252
[Epoch 0] Step 680 | Triplet: 0.6205 | Domain: 1.6270 | Total: 2.2474
[Epoch 0] Step 720 | Triplet: 0.0000 | Domain: 2.2422 | Total: 2.2422
[Epoch 0] Step 760 | Triplet: 0.0000 | Domain: 1.6865 | Total: 1.6865
[Epoch 0] Step 800 | Triplet: 0.0000 | Domain: 1.6807 | Total: 1.6807
[Epoch 0] Step 840 | Triplet: 0.0000 | Domain: 1.7393 | Total: 1.7393
[Epoch 0] Step 880 | Triplet: 0.0373 | Domain: 1.9619 | Total: 1.9992
[Epoch 0] Step 920 | Triplet: 1.5438 | Domain: 1.7910 | Total: 3.3348
[Epoch 0] Step 960 | Triplet: 0.6795 | Domain: 1.7207 | Total: 2.4002
[Epoch 0] Step 1000 | Triplet: 0.0000 | Domain: 1.8594 | Total: 1.8594
[Epoch 0] Step 1040 | Triplet: 0.0000 | Domain: 1.9434 | Total: 1.9434
[Epoch 0] Step 1080 | Triplet: 0.0000 | Domain: 1.9346 | Total: 1.9346
[Epoch 0] Step 1120 | Triplet: 1.4736 | Domain: 2.0586 | Total: 3.5322
[Epoch 0] Step 1160 | Triplet: 0.0000 | Domain: 1.6553 | Total: 1.6553
[Epoch 0] Step 1200 | Triplet: 0.0000 | Domain: 1.8105 | Total: 1.8105
[Epoch 0] Step 1240 | Triplet: 0.0000 | Domain: 2.1699 | Total: 2.1699
[Epoch 0] Step 1280 | Triplet: 0.8948 | Domain: 1.9795 | Total: 2.8743
[Epoch 0] Step 1320 | Triplet: 0.0000 | Domain: 1.8516 | Total: 1.8516
[Epoch 0] Step 1360 | Triplet: 0.2332 | Domain: 2.1660 | Total: 2.3992
[Epoch 0] Step 1400 | Triplet: 0.0000 | Domain: 2.3105 | Total: 2.3105
[Epoch 0] Step 1440 | Triplet: 0.3701 | Domain: 2.1816 | Total: 2.5517
[Epoch 0] Step 1480 | Triplet: 0.0000 | Domain: 2.3125 | Total: 2.3125
[Epoch 0] Step 1520 | Triplet: 0.0926 | Domain: 1.6318 | Total: 1.7245
[Epoch 0] Step 1560 | Triplet: 0.0000 | Domain: 1.5947 | Total: 1.5947
[Epoch 0] Step 1600 | Triplet: 0.9687 | Domain: 1.8486 | Total: 2.8173
[Epoch 0] Step 1640 | Triplet: 0.6174 | Domain: 2.3906 | Total: 3.0080
[Epoch 0] Step 1680 | Triplet: 0.1659 | Domain: 1.8252 | Total: 1.9911
[Epoch 0] Step 1720 | Triplet: 0.3780 | Domain: 2.2988 | Total: 2.6768
[Epoch 0] Step 1760 | Triplet: 0.0000 | Domain: 1.7480 | Total: 1.7480
[Epoch 0] Step 1800 | Triplet: 0.0000 | Domain: 1.8457 | Total: 1.8457
[Epoch 0] Step 1840 | Triplet: 0.2707 | Domain: 1.9160 | Total: 2.1867
[Epoch 0] Step 1880 | Triplet: 0.0000 | Domain: 2.2695 | Total: 2.2695
[Epoch 0] Step 1920 | Triplet: 0.0000 | Domain: 2.1094 | Total: 2.1094
[Epoch 0] Step 1960 | Triplet: 0.3324 | Domain: 1.8496 | Total: 2.1820
[Epoch 0] Step 2000 | Triplet: 0.0000 | Domain: 1.5898 | Total: 1.5898
[Epoch 0] Step 2040 | Triplet: 0.0000 | Domain: 1.8809 | Total: 1.8809
[Epoch 0] Step 2080 | Triplet: 0.0000 | Domain: 2.1660 | Total: 2.1660
[Epoch 0] Step 2120 | Triplet: 0.3241 | Domain: 1.9111 | Total: 2.2352
[Epoch 0] Step 2160 | Triplet: 0.0000 | Domain: 1.7607 | Total: 1.7607
[Epoch 0] Step 2200 | Triplet: 0.0000 | Domain: 1.8584 | Total: 1.8584
[Epoch 0] Step 2240 | Triplet: 0.0000 | Domain: 1.8516 | Total: 1.8516
[Epoch 0] Step 2280 | Triplet: 0.0000 | Domain: 2.1680 | Total: 2.1680
[Epoch 0] Step 2320 | Triplet: 0.0000 | Domain: 1.8975 | Total: 1.8975
